start_node,end_node,street_name,length_m,maxspeed,oneway,geometry_wkt
0,1,University Drive,34.33755381905565,30,False,"LINESTRING (-75.700452 45.379258, -75.700746 45.379027)"
0,2,University Drive,516.430420757247,30,False,"LINESTRING (-75.700452 45.379258, -75.699477 45.379969, -75.699373 45.380053, -75.69929 45.380115, -75.698994 45.380342, -75.69889 45.380428, -75.698872 45.38044, -75.69853 45.38069, -75.69809 45.381013, -75.69773 45.381283, -75.697635 45.381348, -75.697548 45.381406, -75.697438 45.38147, -75.697354 45.381517, -75.69726 45.381566, -75.697163 45.381616, -75.697067 45.381661, -75.697023 45.381688, -75.696984 45.38172, -75.696969 45.381734, -75.696716 45.381996, -75.69666 45.382039, -75.696579 45.382082, -75.696516 45.382116, -75.696453 45.38215, -75.696436 45.38216, -75.695973 45.38239, -75.695906 45.382424, -75.695853 45.382443, -75.695816 45.382456, -75.695741 45.382475)"
0,12,Library Road,204.28275117509776,40,False,"LINESTRING (-75.700452 45.379258, -75.700523 45.379313, -75.700538 45.379333, -75.700618 45.37944, -75.700672 45.379524, -75.700704 45.379583, -75.700741 45.379646, -75.700782 45.379734, -75.700812 45.379805, -75.700835 45.379871, -75.700865 45.37995, -75.700882 45.380009, -75.700903 45.380098, -75.700921 45.380195, -75.700929 45.380249, -75.70094 45.38033, -75.70095 45.380456, -75.700951 45.380552, -75.70095 45.380628, -75.700942 45.380705, -75.700929 45.380778, -75.70091 45.380864, -75.700888 45.38094, -75.700861 45.381015, -75.700858 45.38102)"
1,0,University Drive,34.33755381905565,30,False,"LINESTRING (-75.700746 45.379027, -75.700452 45.379258)"
2,0,University Drive,516.4304207572471,30,False,"LINESTRING (-75.695741 45.382475, -75.695816 45.382456, -75.695853 45.382443, -75.695906 45.382424, -75.695973 45.38239, -75.696436 45.38216, -75.696453 45.38215, -75.696516 45.382116, -75.696579 45.382082, -75.69666 45.382039, -75.696716 45.381996, -75.696969 45.381734, -75.696984 45.38172, -75.697023 45.381688, -75.697067 45.381661, -75.697163 45.381616, -75.69726 45.381566, -75.697354 45.381517, -75.697438 45.38147, -75.697548 45.381406, -75.697635 45.381348, -75.69773 45.381283, -75.69809 45.381013, -75.69853 45.38069, -75.698872 45.38044, -75.69889 45.380428, -75.698994 45.380342, -75.69929 45.380115, -75.699373 45.380053, -75.699477 45.379969, -75.700452 45.379258)"
2,9,University Drive,309.86488546766026,Unknown,False,"LINESTRING (-75.695741 45.382475, -75.695668 45.382387, -75.695556 45.382302, -75.695515 45.382282, -75.695479 45.382268, -75.695427 45.38226, -75.695346 45.382265, -75.695268 45.382285, -75.695049 45.38236, -75.695022 45.382369, -75.694773 45.38245, -75.694599 45.382515, -75.694536 45.382538, -75.694462 45.382569, -75.694354 45.382612, -75.69427 45.382648, -75.694196 45.382689, -75.694115 45.382737, -75.694044 45.382783, -75.693977 45.382834, -75.693912 45.382884, -75.693854 45.382932, -75.6938 45.382979, -75.693756 45.383032, -75.693725 45.383077, -75.693704 45.383118, -75.693696 45.383132, -75.693683 45.383188, -75.693675 45.38324, -75.693674 45.383302, -75.693685 45.383362, -75.693707 45.383427, -75.693738 45.383488, -75.693778 45.383552, -75.693783 45.383559, -75.694005 45.383928, -75.694052 45.384003)"
12,3,Library Road,699.8538925091029,40,False,"LINESTRING (-75.700858 45.38102, -75.70083 45.381083, -75.700802 45.381144, -75.700761 45.381208, -75.700688 45.38131, -75.700413 45.381701, -75.700195 45.381993, -75.700019 45.382233, -75.699918 45.382368, -75.699721 45.382624, -75.699626 45.382747, -75.69918 45.383326, -75.699119 45.383406, -75.699082 45.383468, -75.699045 45.383538, -75.699018 45.383602, -75.698993 45.383666, -75.698986 45.383689, -75.698972 45.383733, -75.698966 45.383757, -75.698962 45.383783, -75.698934 45.383908, -75.698926 45.383994, -75.69892 45.384103, -75.698917 45.384142, -75.698898 45.384272, -75.698886 45.384373, -75.698848 45.384717, -75.69882 45.384982, -75.698817 45.385007, -75.698804 45.385066, -75.698783 45.385111, -75.698759 45.385155, -75.698728 45.3852, -75.698702 45.385238, -75.698672 45.385274, -75.698648 45.385296, -75.698605 45.385333, -75.698548 45.385375, -75.69849 45.385408, -75.698419 45.385445, -75.698345 45.385473, -75.698264 45.385496, -75.698182 45.385512, -75.698114 45.38552, -75.698043 45.385525, -75.697968 45.385526, -75.697707 45.385534, -75.697531 45.385527, -75.696546 45.385522, -75.696465 45.385523, -75.696375 45.385522)"
12,0,Library Road,204.28275117509776,40,False,"LINESTRING (-75.700452 45.379258, -75.700523 45.379313, -75.700538 45.379333, -75.700618 45.37944, -75.700672 45.379524, -75.700704 45.379583, -75.700741 45.379646, -75.700782 45.379734, -75.700812 45.379805, -75.700835 45.379871, -75.700865 45.37995, -75.700882 45.380009, -75.700903 45.380098, -75.700921 45.380195, -75.700929 45.380249, -75.70094 45.38033, -75.70095 45.380456, -75.700951 45.380552, -75.70095 45.380628, -75.700942 45.380705, -75.700929 45.380778, -75.70091 45.380864, -75.700888 45.38094, -75.700861 45.381015, -75.700858 45.38102)"
9,2,University Drive,309.8648854676603,Unknown,False,"LINESTRING (-75.694052 45.384003, -75.694005 45.383928, -75.693783 45.383559, -75.693778 45.383552, -75.693738 45.383488, -75.693707 45.383427, -75.693685 45.383362, -75.693674 45.383302, -75.693675 45.38324, -75.693683 45.383188, -75.693696 45.383132, -75.693704 45.383118, -75.693725 45.383077, -75.693756 45.383032, -75.6938 45.382979, -75.693854 45.382932, -75.693912 45.382884, -75.693977 45.382834, -75.694044 45.382783, -75.694115 45.382737, -75.694196 45.382689, -75.69427 45.382648, -75.694354 45.382612, -75.694462 45.382569, -75.694536 45.382538, -75.694599 45.382515, -75.694773 45.38245, -75.695022 45.382369, -75.695049 45.38236, -75.695268 45.382285, -75.695346 45.382265, -75.695427 45.38226, -75.695479 45.382268, -75.695515 45.382282, -75.695556 45.382302, -75.695668 45.382387, -75.695741 45.382475)"
9,14,University Drive,202.60135867271447,40,False,"LINESTRING (-75.695058 45.385683, -75.69505 45.38567, -75.694944 45.385491, -75.69477 45.385198, -75.694713 45.385099, -75.694671 45.385025, -75.694098 45.384076, -75.694052 45.384003)"
9,15,P3 connector,185.43623106048696,Unknown,False,"LINESTRING (-75.6919 45.3847, -75.694052 45.384003)"
3,12,Library Road,699.8538925091029,40,False,"LINESTRING (-75.700858 45.38102, -75.70083 45.381083, -75.700802 45.381144, -75.700761 45.381208, -75.700688 45.38131, -75.700413 45.381701, -75.700195 45.381993, -75.700019 45.382233, -75.699918 45.382368, -75.699721 45.382624, -75.699626 45.382747, -75.69918 45.383326, -75.699119 45.383406, -75.699082 45.383468, -75.699045 45.383538, -75.699018 45.383602, -75.698993 45.383666, -75.698986 45.383689, -75.698972 45.383733, -75.698966 45.383757, -75.698962 45.383783, -75.698934 45.383908, -75.698926 45.383994, -75.69892 45.384103, -75.698917 45.384142, -75.698898 45.384272, -75.698886 45.384373, -75.698848 45.384717, -75.69882 45.384982, -75.698817 45.385007, -75.698804 45.385066, -75.698783 45.385111, -75.698759 45.385155, -75.698728 45.3852, -75.698702 45.385238, -75.698672 45.385274, -75.698648 45.385296, -75.698605 45.385333, -75.698548 45.385375, -75.69849 45.385408, -75.698419 45.385445, -75.698345 45.385473, -75.698264 45.385496, -75.698182 45.385512, -75.698114 45.38552, -75.698043 45.385525, -75.697968 45.385526, -75.697707 45.385534, -75.697531 45.385527, -75.696546 45.385522, -75.696465 45.385523, -75.696375 45.385522)"
3,13,Campus Avenue,179.53497079893017,40,True,"LINESTRING (-75.696375 45.385522, -75.696372 45.385465, -75.696363 45.38483, -75.696359 45.38463, -75.696359 45.384578, -75.696359 45.384522, -75.696356 45.384459, -75.696335 45.384061, -75.696335 45.384034, -75.696332 45.383952, -75.696324 45.383907)"
13,2,Campus Avenue,166.12447506995477,40,True,"LINESTRING (-75.696324 45.383907, -75.696298 45.38376, -75.696275 45.383659, -75.696254 45.383565, -75.696197 45.38339, -75.696113 45.383183, -75.696064 45.38307, -75.696042 45.383019, -75.695942 45.382824, -75.69592 45.382781, -75.695897 45.382744, -75.695829 45.382634, -75.695741 45.382475)"
4,5,University Drive,174.6275507165374,40,True,"LINESTRING (-75.69421 45.389835, -75.694864 45.389528, -75.694925 45.3895, -75.695299 45.389313, -75.695397 45.389257, -75.695764 45.38908, -75.695809 45.389067, -75.695908 45.389049, -75.695953 45.388918)"
5,8,Campus Avenue,92.22344564432396,40,False,"LINESTRING (-75.695953 45.388918, -75.696146 45.388917, -75.696234 45.388884, -75.696277 45.388868, -75.696384 45.388827, -75.696814 45.388655, -75.696899 45.388623, -75.697009 45.388582)"
5,6,University Drive,76.79938078742693,40,True,"LINESTRING (-75.695953 45.388918, -75.696019 45.388809, -75.695978 45.388759, -75.695961 45.388729, -75.695946 45.388704, -75.695934 45.388672, -75.695893 45.388548, -75.695869 45.388446, -75.695851 45.388372, -75.69583 45.388318, -75.695804 45.38826)"
5,11,University Drive,141.29128428829313,40,True,"LINESTRING (-75.695953 45.388918, -75.695788 45.388924, -75.695719 45.389006, -75.695664 45.389043, -75.695595 45.389084, -75.695417 45.389171, -75.695317 45.389223, -75.6952 45.389285, -75.694812 45.389475, -75.694689 45.389534, -75.694494 45.38962)"
8,5,Campus Avenue,92.22344564432396,40,False,"LINESTRING (-75.697009 45.388582, -75.696899 45.388623, -75.696814 45.388655, -75.696384 45.388827, -75.696277 45.388868, -75.696234 45.388884, -75.696146 45.388917, -75.695953 45.388918)"
8,3,Campus Avenue,347.4503002570574,40,True,"LINESTRING (-75.697009 45.388582, -75.696962 45.388506, -75.696911 45.388418, -75.696832 45.388276, -75.696803 45.388227, -75.696757 45.388144, -75.696702 45.388036, -75.696687 45.388004, -75.696647 45.387914, -75.696619 45.387841, -75.69659 45.387767, -75.696531 45.387567, -75.69647 45.387363, -75.696451 45.387279, -75.696436 45.387171, -75.696416 45.38706, -75.696405 45.386933, -75.696396 45.386855, -75.696387 45.386628, -75.696379 45.386049, -75.696373 45.385611, -75.696375 45.385522)"
6,7,University Drive,74.30480825368065,40,False,"LINESTRING (-75.695804 45.38826, -75.695672 45.387685, -75.695651 45.3876)"
6,5,University Drive,78.63680484459013,40,True,"LINESTRING (-75.695804 45.38826, -75.695791 45.388335, -75.695791 45.388386, -75.695803 45.388491, -75.69581 45.388537, -75.695837 45.388718, -75.695834 45.388749, -75.695823 45.388854, -75.695953 45.388918)"
7,6,University Drive,74.30480825368065,40,False,"LINESTRING (-75.695651 45.3876, -75.695672 45.387685, -75.695804 45.38826)"
7,10,Stadium Way,58.63907908145324,Unknown,False,"LINESTRING (-75.695651 45.3876, -75.695632 45.387515, -75.695451 45.387539, -75.695018 45.387604)"
7,14,University Drive,218.6909991240668,40,False,"LINESTRING (-75.695651 45.3876, -75.695632 45.387515, -75.695543 45.387125, -75.695468 45.386791, -75.695441 45.386674, -75.695418 45.38657, -75.695385 45.386443, -75.695344 45.386302, -75.695312 45.386209, -75.695278 45.386117, -75.695234 45.386006, -75.695192 45.385916, -75.695151 45.385835, -75.695106 45.385757, -75.695079 45.385718, -75.695058 45.385683)"
10,7,Stadium Way,58.63907908145324,Unknown,False,"LINESTRING (-75.695018 45.387604, -75.695451 45.387539, -75.695632 45.387515, -75.695651 45.3876)"
10,7,Stadium Way,62.85220948190342,Unknown,True,"LINESTRING (-75.695018 45.387604, -75.69524 45.387594, -75.69538 45.387599, -75.69547 45.387616, -75.695537 45.387635, -75.695672 45.387685, -75.695651 45.3876)"
10,17,Stadium Exit connector,189.63227180597204,Unknown,False,"LINESTRING (-75.6927 45.3881, -75.695018 45.387604)"
14,9,University Drive,202.60135867271447,40,False,"LINESTRING (-75.695058 45.385683, -75.69505 45.38567, -75.694944 45.385491, -75.69477 45.385198, -75.694713 45.385099, -75.694671 45.385025, -75.694098 45.384076, -75.694052 45.384003)"
14,7,University Drive,218.6909991240668,40,False,"LINESTRING (-75.695651 45.3876, -75.695632 45.387515, -75.695543 45.387125, -75.695468 45.386791, -75.695441 45.386674, -75.695418 45.38657, -75.695385 45.386443, -75.695344 45.386302, -75.695312 45.386209, -75.695278 45.386117, -75.695234 45.386006, -75.695192 45.385916, -75.695151 45.385835, -75.695106 45.385757, -75.695079 45.385718, -75.695058 45.385683)"
15,9,P3 connector,185.43623106048696,Unknown,False,"LINESTRING (-75.6919 45.3847, -75.694052 45.384003)"
15,16,Ravensrd Exit connector,132.91124268961752,Unknown,False,"LINESTRING (-75.6903 45.3851, -75.6919 45.3847)"
17,10,Stadium Exit connector,189.63227180597204,Unknown,False,"LINESTRING (-75.6927 45.3881, -75.695018 45.387604)"
16,15,Ravensrd Exit connector,132.91124268961752,Unknown,False,"LINESTRING (-75.6903 45.3851, -75.6919 45.3847)"
