time,Campus Ave & Library Rd to Campus Ave & P2,Campus Ave & Library Rd to Library Rd & P1,Campus Ave & P2 to Campus Ave & University Dr,Campus Ave & P6 to Campus Ave & Library Rd,Campus Ave & P6 to Roundabout,Campus Ave & University Dr to Library Rd & University Dr,Campus Ave & University Dr to Raven Rd & University Dr,Library Rd & P1 to Campus Ave & Library Rd,Library Rd & P1 to Library Rd & University Dr,Library Rd & University Dr to Colonel By Dr & University Dr,P3 & Raven Rd to Raven Rd & University Dr,P4 & University Dr to Raven Rd & University Dr,P4 & University Dr to Stadium Way & University Dr,P5 & Stadium Way to Bronson Ave & Stadium Way,P5 & Stadium Way to Stadium Way & University Dr,Raven Rd & University Dr to Campus Ave & University Dr,Raven Rd & University Dr to P4 & University Dr,Roundabout to Bronson Ave & University Dr,Stadium Way & University Dr to P5 & Stadium Way,Stadium Way & University Dr to Roundabout
0.0,0.0,0.0,0.6019582602581162,0.0,0.0,0.0,0.0,0.0,0.48951758983625465,0.0,0.0,0.0,0.45726619019772763,0.0,1.705347382093907,0.0,0.0,0.70775773965165,0.0,0.0
1.0,0.0,0.0,0.6019582602581162,0.0,0.0,0.0,0.0,0.0,0.48951758983625465,0.0,0.0,0.0,0.45726619019772763,0.0,1.705347382093907,0.0,0.0,0.70775773965165,0.0,0.0
2.0,0.0,0.0,0.6019582602581162,0.0,0.0,0.0,0.0,0.0,0.48951758983625465,0.0,0.0,0.0,0.45726619019772763,0.0,1.705347382093907,0.0,0.0,0.70775773965165,0.0,0.0
3.0,0.0,0.0,0.6019582602581162,0.0,0.0,0.0,0.0,0.0,0.48951758983625465,0.0,0.0,0.0,0.45726619019772763,0.0,1.705347382093907,0.0,0.0,0.70775773965165,0.0,0.0
4.0,0.0,0.0,0.6019582602581162,0.0,0.0,0.0,0.0,0.0,0.48951758983625465,0.0,0.0,0.0,0.45726619019772763,0.0,1.705347382093907,0.0,0.0,0.70775773965165,0.0,0.0
5.0,0.0,0.0,1.2039165205162323,0.0,0.0,0.0,0.0,0.0,0.9790351796725093,0.0,0.0,0.0,0.9145323803954553,0.0,3.410694764187814,0.0,0.0,1.4155154793033,0.0,0.0
6.0,0.0,0.0,1.2039165205162323,0.0,0.0,0.0,0.0,0.0,0.9790351796725093,0.0,0.0,0.0,0.9145323803954553,0.0,1.705347382093907,0.0,0.0,1.4155154793033,0.0,0.6538442872029947
7.0,0.0,0.0,1.2039165205162323,0.0,0.0,0.0,0.0,0.0,0.9790351796725093,0.0,0.0,0.0,0.9145323803954553,0.0,1.705347382093907,0.0,0.0,1.4155154793033,0.0,0.6538442872029947
8.0,0.0,0.0,1.2039165205162323,0.0,0.0,0.0,0.0,0.0,0.9790351796725093,0.0,0.0,0.0,0.9145323803954553,0.0,1.705347382093907,0.0,0.0,1.4155154793033,0.0,0.6538442872029947
9.0,0.0,0.0,1.2039165205162323,0.0,0.0,0.0,0.0,0.0,0.9790351796725093,0.0,0.0,0.0,0.9145323803954553,0.0,1.705347382093907,0.0,0.0,1.4155154793033,0.0,0.6538442872029947
10.0,0.0,0.0,1.8058747807743485,0.0,0.0,0.0,0.0,0.14288696693731798,0.9790351796725093,0.0,0.0,0.0,1.371798570593183,0.0,3.410694764187814,0.0,0.0,2.12327321895495,0.0,0.6538442872029947
11.0,0.0,0.0,1.8058747807743485,0.0,0.0,0.0,0.0,0.14288696693731798,0.9790351796725093,0.0,0.0,0.0,1.371798570593183,0.0,1.705347382093907,0.0,0.0,2.12327321895495,0.0,1.3076885744059894
12.0,0.0,0.0,1.8058747807743485,0.0,0.0,0.0,0.0,0.14288696693731798,0.9790351796725093,0.0,0.0,0.0,1.371798570593183,0.0,1.705347382093907,0.0,0.0,2.12327321895495,0.0,1.3076885744059894
13.0,0.0,0.0,1.8058747807743485,0.0,0.0,0.0,0.0,0.14288696693731798,0.9790351796725093,0.0,0.0,0.0,1.371798570593183,0.0,1.705347382093907,0.0,0.0,1.4155154793033,0.0,1.3076885744059894
14.0,0.0,0.0,1.8058747807743485,0.0,0.0,0.0,0.0,0.14288696693731798,0.9790351796725093,0.0,0.0,0.0,1.371798570593183,0.0,1.705347382093907,0.0,0.0,1.4155154793033,0.0,1.3076885744059894
